*WYGENEROWANY SYGNAL
&PARAMETRY
@amplituda:	10.000000
@czestotliwosc sygnalu:	10.000000
@przesuniecie fazowe:	0.000000
@czestotliwosc probkowania:	100.000000
@czas sygnalu:	1.000000
1	 0.000000
2	 3.090170
3	 5.877853
4	 8.090170
5	 9.510565
6	 10.000000
7	 9.510565
8	 8.090170
9	 5.877853
10	 3.090170
11	 0.000000
12	-3.090170
13	-5.877853
14	-8.090170
15	-9.510565
16	-10.000000
17	-9.510565
18	-8.090170
19	-5.877853
20	-3.090170
21	-0.000000
22	 3.090170
23	 5.877853
24	 8.090170
25	 9.510565
26	 10.000000
27	 9.510565
28	 8.090170
29	 5.877853
30	 3.090170
31	 0.000000
32	-3.090170
33	-5.877853
34	-8.090170
35	-9.510565
36	-10.000000
37	-9.510565
38	-8.090170
39	-5.877853
40	-3.090170
41	-0.000000
42	 3.090170
43	 5.877853
44	 8.090170
45	 9.510565
46	 10.000000
47	 9.510565
48	 8.090170
49	 5.877853
50	 3.090170
51	 0.000000
52	-3.090170
53	-5.877853
54	-8.090170
55	-9.510565
56	-10.000000
57	-9.510565
58	-8.090170
59	-5.877853
60	-3.090170
61	-0.000000
62	 3.090170
63	 5.877853
64	 8.090170
65	 9.510565
66	 10.000000
67	 9.510565
68	 8.090170
69	 5.877853
70	 3.090170
71	 0.000000
72	-3.090170
73	-5.877853
74	-8.090170
75	-9.510565
76	-10.000000
77	-9.510565
78	-8.090170
79	-5.877853
80	-3.090170
81	-0.000000
82	 3.090170
83	 5.877853
84	 8.090170
85	 9.510565
86	 10.000000
87	 9.510565
88	 8.090170
89	 5.877853
90	 3.090170
91	 0.000000
92	-3.090170
93	-5.877853
94	-8.090170
95	-9.510565
96	-10.000000
97	-9.510565
98	-8.090170
99	-5.877853
100	-3.090170
